display_name,entity_kind,cfpb_company_name,fdic_cert,cik,ticker,aliases,seed_status
Associated Banc-Corp,bank,"ASSOCIATED BANK, N.A.",5296,7789,ASB,"associated bank",seed
Frost Bank (Cullen/Frost),bank,"FROST BANK",3502,39263,CFR,"frost|cullen/frost|frost bank",seed
Equifax,credit_bureau,"EQUIFAX, INC.",,33185,EFX,"equifax inc",seed
Experian,credit_bureau,"Experian Information Solutions Inc.",,,,"experian information solutions",seed
TransUnion,credit_bureau,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,1552033,TRU,"transunion llc|trans union",seed
Apple,company,,,320193,AAPL,"apple inc",seed
Microsoft,company,,,789019,MSFT,"microsoft corp|microsoft corporation",seed
Nvidia,company,,,1045810,NVDA,"nvidia corp|nvidia corporation",seed
Alphabet,company,,,1652044,GOOGL,"google|alphabet inc",seed
Amazon,company,,,1018724,AMZN,"amazon.com|amazon.com inc",seed
Meta Platforms,company,,,1326801,META,"facebook|meta",seed
Tesla,company,,,1318605,TSLA,"tesla inc|tesla motors",seed
Berkshire Hathaway,company,,,1067983,BRK-B,"berkshire|berkshire hathaway inc",seed
Johnson & Johnson,company,,,200406,JNJ,"j&j|johnson and johnson",seed
Exxon Mobil,company,,,34088,XOM,"exxon|exxonmobil|exxon mobil corp",seed
Walmart,company,,,104169,WMT,"wal-mart|walmart inc",seed
Procter & Gamble,company,,,80424,PG,"p&g|procter and gamble",seed
UnitedHealth Group,company,,,731766,UNH,"unitedhealth|united health",seed
Visa,company,,,1403161,V,"visa inc",seed
Mastercard,company,,,1141391,MA,"mastercard inc|mastercard incorporated",seed
Home Depot,company,,,354950,HD,"the home depot|home depot inc",seed
Coca-Cola,company,,,21344,KO,"coca cola|the coca-cola company",seed
PepsiCo,company,,,77476,PEP,"pepsi|pepsico inc",seed
Chevron,company,,,93410,CVX,"chevron corp|chevron corporation",seed
Oracle,company,,,1341439,ORCL,"oracle corp|oracle corporation",seed
